Case ID,Activity,Complete Timestamp,Variant,Variant index
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:03:16.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:03:16.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:03:16.000,Variant 7,7
dataRequester64,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester64,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester64,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester64,Update license compliance,2019/08/10 20:58:29.000,Variant 1,1
dataRequester64,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
dataRequester64,Confirm update,2019/08/10 21:02:33.000,Variant 1,1
dataRequester64,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester62,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester62,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester62,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester62,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester62,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
dataRequester62,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester62,Update license compliance,2019/08/10 21:04:13.000,Variant 1,1
dataRequester35,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester35,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester35,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester35,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester35,Update license compliance,2019/08/10 20:59:55.000,Variant 1,1
dataRequester35,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester35,Update license compliance,2019/08/10 21:04:13.000,Variant 1,1
dataRequester85,Agree to License,2019/08/10 20:54:35.000,Variant 2,2
